,Identifier,Atom Centres,Functional Group,Formal Charge,Aqueous pKa,Protonated Elec En (Eh),Unprotonated Elec En (Eh),Elec En Diff (Eh)
26,a8,O,Sulphate,-1,-2.6,-664.405088207481,-663.901960817957,-0.503127389523911
27,a9,O,Alcohol,0,-2.2,-116.016347178542,-115.723930172623,-0.2924170059190061
28,a10,O,Ether,0,-2.1,-232.753443134116,-232.433024623044,-0.32041851107200614
29,a38,N,Nitrile,0,-10.5,-324.817523595999,-324.492669420988,-0.32485417501095526
30,a14,O,Phosphoryl,0,-1.0,-820.701445943243,-820.33742655511,-0.36401938813298784
31,a28,O,CarboxylicAcid,-2,10.3,-264.526593904111,-263.74333122051,-0.7832626836009808
32,a29,S,Thiol,-1,10.5,-477.979767145849,-477.410551245457,-0.5692159003920096
33,a15,O,CarboxylicAcid,-1,-0.3,-526.91447873353,-526.399863728861,-0.5146150046690536
34,a17,O,Carbonyl,0,-0.1,-382.828360898064,-382.469806287128,-0.3585546109359825
35,a16,O,Carbonyl,0,-0.2,-288.165916657835,-287.812877661687,-0.35303899614797274
36,a2,O,CarboxylicAcid,0,-7.8,-421.178418248616,-420.851064246276,-0.3273540023400301
37,a27,O,Alcohol,-1,10.0,-307.474526590068,-306.910750652502,-0.5637759375660494
38,a33,O,Phosphoryl,-3,12.1,-643.007417956977,-642.05475111673,-0.952666840246934
39,a32,O,Peroxide,-1,11.7,-151.577607716168,-150.979175857742,-0.5984318584259825
40,a26,O,Alcohol,-1,8.0,-384.868729088448,-384.301978583142,-0.566750505306004
41,a3,O,Ether,0,-6.5,-347.069600446569,-346.75840524159,-0.3111952049789579
42,a1,O,Nitro,0,-12.4,-437.090610369513,-436.782061493702,-0.3085488758110273
43,a18,O,Alcohol,-1,0.3,-921.119258124242,-920.637205992235,-0.48205213200708386
44,a30,O,Alcohol,-1,10.5,-153.813811016269,-153.23657188727,-0.5772391289989969
45,a24,S,Thiol,-1,6.5,-630.415499294677,-629.868238159827,-0.5472611348500322
46,a25,O,Phosphoryl,-2,7.1,-643.737190025489,-643.007421008854,-0.7297690166350321
47,a31,O,Alcohol,-1,10.9,-193.127175118103,-192.549337806507,-0.5778373115959994
48,a19,O,Phosphoryl,-1,2.2,-644.254647171372,-643.737190025489,-0.517457145882986
49,a35,O,Alcohol,-1,16.0,-115.72393064271,-115.108715472812,-0.6152151698980077
50,a21,O,CarboxylicAcid,-1,4.2,-420.851068173999,-420.30541043843,-0.5456577355690229
51,a4,S,Thiol,0,-5.4,-478.29952886531,-477.983732972395,-0.3157958929149913
52,a5,S,Thioether,0,-4.4,-555.729235478776,-555.405189926076,-0.32404555269999946
53,a20,O,Selenoxide,0,2.6,-2556.778208105445,-2556.415534999784,-0.3626731056610879
54,a34,O,Water,-1,14.0,-76.437641511557,-75.79855075288,-0.6390907586769998
55,a22,O,CarboxylicAcid,-1,4.8,-229.109878854209,-228.552574010088,-0.5573048441210062
56,a36,O,Alcohol,-1,20.0,-233.653535937015,-233.044372989155,-0.6091629478599998
57,a7,O,Carbonyl,0,-3.1,-193.467702181181,-193.146315128116,-0.321387053065024
58,a6,O,Ether,0,-3.8,-155.319505996359,-155.011407412203,-0.30809858415599933
59,a37,P,Phosphine,0,-14.0,-343.421801202409,-343.111515461052,-0.31028574135694953
60,a23,O,CarboxylicAcid,-1,6.3,-265.064268223812,-264.526593438767,-0.5376747850449988
61,a78,C,Alkane,-1,9.0,-345.805188598393,-345.255131562737,-0.550057035655982
62,a44,P,Phsophine,0,2.7,-382.751175778344,-382.4233148146,-0.3278609637440013
63,a50,N,Amine,0,8.5,-288.132666699512,-287.784421007554,-0.34824569195802724
64,a87,C,Alkane,-1,18.3,-384.888031246125,-384.302006307486,-0.5860249386390137
65,a86,C,Alkane,-1,16.7,-153.830500836783,-153.236572881111,-0.593927955672001
66,a51,P,Phosphine,0,9.1,-579.330186055061,-578.97145411913,-0.3587319359309049
67,a45,P,Phosphine,0,2.7,-1036.647942633153,-1036.277275063138,-0.3706675700150299
68,a79,C,Nitrile,-1,9.1,-93.435637134214,-92.849573734678,-0.5860633995360018
69,a53,N,Amine,0,9.2,-56.885751057087,-56.551881188488,-0.3338698685990025
70,a47,N,Imine,0,5.2,-248.63703915093,-248.276324763912,-0.36071438701802094
71,a84,C,Alkane,-1,15.0,-194.083524836464,-193.512870798491,-0.5706540379729859
72,a85,C,Alkane,-1,15.5,-232.445102323815,-231.860936594276,-0.584165729538995
73,a46,N,Amine,0,4.6,-287.942465666458,-287.595692687242,-0.3467729792160412
74,a52,N,Imine,0,9.2,-304.027413081685,-303.647951889584,-0.37946119210096185
75,a56,N,Amine,0,10.6,-135.506961615522,-135.151522066183,-0.35543954933899613
76,a42,N,Imine,0,-2.9,-573.109648586886,-572.747813749743,-0.3618348371429647
77,a81,C,Alkane,-1,12.2,-423.003060910665,-422.442080909079,-0.5609800015860174
78,a80,C,Alkene,0,10.0,-149.080307105392,-148.744338346893,-0.335968758499007
79,a43,N,Amine,0,0.8,-518.994709620194,-518.634271994643,-0.3604376255510715
80,a57,N,Amine,0,10.7,-292.732372873156,-292.354068741053,-0.37830413210298275
81,a41,N,Amine,0,-5.0,-750.041336798386,-749.675817541269,-0.36551925711705735
82,a55,N,Nitrile,0,10.0,-109.732845355329,-109.535581091533,-0.1972642637960007
83,a69,X,Halide,-1,3.2,-100.468395821655,-99.870143736909,-0.5982520847459938
84,a82,C,Alkane,-1,12.9,-574.917379989805,-574.361914442358,-0.5554655474469428
85,a83,C,Alkane,-1,13.1,-384.874447296611,-384.314718687864,-0.5597286087469797
86,a68,X,Halide,-1,-7.3,-460.789513081512,-460.260178597908,-0.5293344836039751
87,a54,N,Amine,0,9.4,-327.250810561059,-326.891621991554,-0.35918856950496547
88,a40,N,Amine,0,-9.3,-901.542858765554,-901.25145128845,-0.2914074771040305
